no change     /scratch/mkalla/miniconda3/condabin/conda
no change     /scratch/mkalla/miniconda3/bin/conda
no change     /scratch/mkalla/miniconda3/bin/conda-env
no change     /scratch/mkalla/miniconda3/bin/activate
no change     /scratch/mkalla/miniconda3/bin/deactivate
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.sh
no change     /scratch/mkalla/miniconda3/etc/fish/conf.d/conda.fish
no change     /scratch/mkalla/miniconda3/shell/condabin/Conda.psm1
no change     /scratch/mkalla/miniconda3/shell/condabin/conda-hook.ps1
no change     /scratch/mkalla/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.csh
no change     /home/opis/mkalla/.bashrc
No action taken.
--- Nombre total de combinaisons definies : 12 ---
--- Job Slurm ID: 504169 | Tache: 4/12 ---
--- Modele: fcae | Strategie: unrolling | Dataset: data_1 | Mode: full ---
--- Arguments specifiques : (aucun) ---
[INFO] Exécution verrouillée sur le GPU : 0
[AVERTISSEMENT] Paramètre 'train' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'save_dir' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'train_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'Loss' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_pd_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'resume' du YAML non reconnu par argparse.
=== Lancement : FCAE | Stratégie : UNROLLING | Mode : FULL ===
--- Préparation des DataLoaders ---
[INFO] Chargement des données depuis : ./Dataset/data_1
[INFO] Instanciation des MyDataset...
[INFO] Train: 800 | Val: 100 | Test: 100
[INFO] Résultats sauvegardés dans : runs/fcae/unrolling/data_1/20260827-120221_full
[INFO] Modèle FCAE instancié.
--- [TRAIN] FCAE (UNROLLING) | Epochs: 50 | Loss: MSE ---
Ep 27/50 | Tr: 2.1071e-05 | Val: 1.8542e-05 | T: 0.5s
Ep 28/50 | Tr: 2.0542e-05 | Val: 1.7971e-05 | T: 0.5s
Ep 29/50 | Tr: 2.0111e-05 | Val: 1.7498e-05 | T: 0.5s
Ep 30/50 | Tr: 2.0126e-05 | Val: 1.7566e-05 | T: 0.5s
Ep 31/50 | Tr: 1.9781e-05 | Val: 1.7488e-05 | T: 0.5s
Ep 32/50 | Tr: 1.9716e-05 | Val: 1.7014e-05 | T: 0.5s
Ep 33/50 | Tr: 1.9595e-05 | Val: 1.6596e-05 | T: 0.5s
Ep 34/50 | Tr: 1.9293e-05 | Val: 1.6474e-05 | T: 0.5s
Ep 35/50 | Tr: 1.8699e-05 | Val: 1.5982e-05 | T: 0.5s
Ep 36/50 | Tr: 1.8929e-05 | Val: 1.6185e-05 | T: 0.5s
Ep 37/50 | Tr: 1.8735e-05 | Val: 1.5809e-05 | T: 0.5s
Ep 38/50 | Tr: 1.8428e-05 | Val: 1.5759e-05 | T: 0.5s
Ep 39/50 | Tr: 1.8748e-05 | Val: 1.5733e-05 | T: 0.5s
Ep 40/50 | Tr: 1.8667e-05 | Val: 1.5320e-05 | T: 0.5s
Ep 41/50 | Tr: 1.8001e-05 | Val: 1.5102e-05 | T: 0.5s
Ep 42/50 | Tr: 1.8135e-05 | Val: 1.4980e-05 | T: 0.5s
Ep 43/50 | Tr: 1.7913e-05 | Val: 1.5196e-05 | T: 0.5s
Ep 44/50 | Tr: 1.8205e-05 | Val: 1.4677e-05 | T: 0.5s
Ep 45/50 | Tr: 1.7776e-05 | Val: 1.5062e-05 | T: 0.5s
Ep 46/50 | Tr: 1.7416e-05 | Val: 1.4647e-05 | T: 0.5s
Ep 47/50 | Tr: 1.7912e-05 | Val: 1.4475e-05 | T: 0.5s
Ep 48/50 | Tr: 1.7447e-05 | Val: 1.4376e-05 | T: 0.5s
Ep 49/50 | Tr: 1.7382e-05 | Val: 1.4343e-05 | T: 0.5s
Ep 50/50 | Tr: 1.7941e-05 | Val: 1.4036e-05 | T: 0.5s
--- [TRAIN] Terminé en 0.53 min ---
--- [TEST] FCAE (UNROLLING) | Metric: MSE | Samples: 100 ---
[INFO] Chargement des poids depuis : runs/fcae/unrolling/data_1/20260827-120221_full/checkpoints/best_model.pt
[RESULT] Mean MSE: 1.5212e-05 | Median: 1.4379e-05 | Std: 5.0324e-06 | Best: 6.6979e-06 | Worst: 2.9371e-05

=== Exécution Terminée ===
--- Tache 4 (fcae/unrolling/data_1) terminee ---
