no change     /scratch/mkalla/miniconda3/condabin/conda
no change     /scratch/mkalla/miniconda3/bin/conda
no change     /scratch/mkalla/miniconda3/bin/conda-env
no change     /scratch/mkalla/miniconda3/bin/activate
no change     /scratch/mkalla/miniconda3/bin/deactivate
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.sh
no change     /scratch/mkalla/miniconda3/etc/fish/conf.d/conda.fish
no change     /scratch/mkalla/miniconda3/shell/condabin/Conda.psm1
no change     /scratch/mkalla/miniconda3/shell/condabin/conda-hook.ps1
no change     /scratch/mkalla/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.csh
no change     /home/opis/mkalla/.bashrc
No action taken.
--- Nombre total de combinaisons definies : 30 ---
--- Job Slurm ID: 501940 | Tache: 6/30 ---
--- Modele: hq | Strategie: unrolling | Dataset: data_0 | Mode: full ---
--- Arguments specifiques : --num_layers 30 --num_pd_layers 10 ---
[INFO] Exécution verrouillée sur le GPU : 0
[AVERTISSEMENT] Paramètre 'train' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'save_dir' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'train_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'Loss' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_pd_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'resume' du YAML non reconnu par argparse.
=== Lancement : HQ | Stratégie : UNROLLING | Mode : FULL ===
--- Préparation des DataLoaders ---
[INFO] Chargement des données depuis : ./Dataset/data_0
[INFO] Instanciation des MyDataset...
[INFO] Train: 800 | Val: 100 | Test: 100
[INFO] Résultats sauvegardés dans : runs/hq/unrolling/data_0/20260826-162333_full
[INFO] Modèle HQ instancié.
--- [TRAIN] HQ (UNROLLING) | Epochs: 50 | Loss: MSE ---
Ep 42/50 | Tr: 1.8768e-05 | Val: 1.8170e-05 | T: 10.1s
Ep 43/50 | Tr: 1.8675e-05 | Val: 1.8092e-05 | T: 9.0s
Ep 44/50 | Tr: 1.8616e-05 | Val: 1.8067e-05 | T: 11.0s
Ep 45/50 | Tr: 1.8588e-05 | Val: 1.8049e-05 | T: 11.0s
Ep 46/50 | Tr: 1.8574e-05 | Val: 1.8040e-05 | T: 11.2s
Ep 47/50 | Tr: 1.8571e-05 | Val: 1.8035e-05 | T: 11.0s
Ep 48/50 | Tr: 1.8559e-05 | Val: 1.8029e-05 | T: 10.4s
Ep 49/50 | Tr: 1.8561e-05 | Val: 1.8026e-05 | T: 11.0s
Ep 50/50 | Tr: 1.8555e-05 | Val: 1.8020e-05 | T: 10.3s
--- [TRAIN] Terminé en 8.97 min ---
--- [TEST] HQ (UNROLLING) | Metric: MSE | Samples: 100 ---
[INFO] Chargement des poids depuis : runs/hq/unrolling/data_0/20260826-162333_full/checkpoints/best_model.pt
[RESULT] Mean MSE: 1.8946e-05 | Median: 1.8961e-05 | Std: 4.2595e-06 | Best: 7.5283e-06 | Worst: 2.7349e-05

=== Exécution Terminée ===
--- Tache 6 (hq/unrolling/data_0) terminee ---
