no change     /scratch/mkalla/miniconda3/condabin/conda
no change     /scratch/mkalla/miniconda3/bin/conda
no change     /scratch/mkalla/miniconda3/bin/conda-env
no change     /scratch/mkalla/miniconda3/bin/activate
no change     /scratch/mkalla/miniconda3/bin/deactivate
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.sh
no change     /scratch/mkalla/miniconda3/etc/fish/conf.d/conda.fish
no change     /scratch/mkalla/miniconda3/shell/condabin/Conda.psm1
no change     /scratch/mkalla/miniconda3/shell/condabin/conda-hook.ps1
no change     /scratch/mkalla/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.csh
no change     /home/opis/mkalla/.bashrc
No action taken.
--- Nombre total de combinaisons definies : 30 ---
--- Job Slurm ID: 501908 | Tache: 2/30 ---
--- Modele: pmms | Strategie: unrolling | Dataset: data_0 | Mode: full ---
--- Arguments specifiques : --num_layers 30 ---
[INFO] Exécution verrouillée sur le GPU : 0
[AVERTISSEMENT] Paramètre 'train' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'save_dir' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'train_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'Loss' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_pd_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'resume' du YAML non reconnu par argparse.
=== Lancement : PMMS | Stratégie : UNROLLING | Mode : FULL ===
--- Préparation des DataLoaders ---
[INFO] Chargement des données depuis : ./Dataset/data_0
[INFO] Instanciation des MyDataset...
[INFO] Train: 800 | Val: 100 | Test: 100
[INFO] Résultats sauvegardés dans : runs/pmms/unrolling/data_0/20260826-154241_full
[INFO] Modèle PMMS instancié.
--- [TRAIN] PMMS (UNROLLING) | Epochs: 50 | Loss: MSE ---
Ep 27/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 32.9s
Ep 28/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 33.0s
Ep 29/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 33.2s
Ep 30/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 33.1s
Ep 31/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 33.0s
Ep 32/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 33.2s
Ep 33/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 33.0s
Ep 34/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 32.8s
Ep 35/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 32.9s
Ep 36/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 32.4s
Ep 37/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 33.2s
Ep 38/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 32.9s
Ep 39/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 32.9s
Ep 40/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 32.7s
Ep 41/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 33.2s
Ep 42/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 33.1s
Ep 43/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 31.9s
Ep 44/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 32.4s
Ep 45/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 32.8s
Ep 46/50 | Tr: 2.1907e-05 | Val: 2.1357e-05 | T: 33.2s
Ep 47/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 33.2s
Ep 48/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 32.6s
Ep 49/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 33.0s
Ep 50/50 | Tr: 2.1907e-05 | Val: 2.1356e-05 | T: 33.0s
--- [TRAIN] Terminé en 27.82 min ---
--- [TEST] PMMS (UNROLLING) | Metric: MSE | Samples: 100 ---
[INFO] Chargement des poids depuis : runs/pmms/unrolling/data_0/20260826-154241_full/checkpoints/best_model.pt
[RESULT] Mean MSE: 2.2360e-05 | Median: 2.2414e-05 | Std: 3.6494e-06 | Best: 1.5260e-05 | Worst: 3.1373e-05

=== Exécution Terminée ===
--- Tache 2 (pmms/unrolling/data_0) terminee ---
