no change     /scratch/mkalla/miniconda3/condabin/conda
no change     /scratch/mkalla/miniconda3/bin/conda
no change     /scratch/mkalla/miniconda3/bin/conda-env
no change     /scratch/mkalla/miniconda3/bin/activate
no change     /scratch/mkalla/miniconda3/bin/deactivate
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.sh
no change     /scratch/mkalla/miniconda3/etc/fish/conf.d/conda.fish
no change     /scratch/mkalla/miniconda3/shell/condabin/Conda.psm1
no change     /scratch/mkalla/miniconda3/shell/condabin/conda-hook.ps1
no change     /scratch/mkalla/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.csh
no change     /home/opis/mkalla/.bashrc
No action taken.
--- Nombre total de combinaisons definies : 12 ---
--- Job Slurm ID: 504170 | Tache: 5/12 ---
--- Modele: fctn | Strategie: unrolling | Dataset: data_1 | Mode: full ---
--- Arguments specifiques : (aucun) ---
[INFO] Exécution verrouillée sur le GPU : 0
[AVERTISSEMENT] Paramètre 'train' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'save_dir' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'train_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'Loss' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_pd_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'resume' du YAML non reconnu par argparse.
=== Lancement : FCTN | Stratégie : UNROLLING | Mode : FULL ===
--- Préparation des DataLoaders ---
[INFO] Chargement des données depuis : ./Dataset/data_1
[INFO] Instanciation des MyDataset...
[INFO] Train: 800 | Val: 100 | Test: 100
[INFO] Résultats sauvegardés dans : runs/fctn/unrolling/data_1/20260827-120230_full
[INFO] Modèle FCTN instancié.
--- [TRAIN] FCTN (UNROLLING) | Epochs: 50 | Loss: MSE ---
Ep 34/50 | Tr: 1.8984e-05 | Val: 1.8322e-05 | T: 1.2s
Ep 35/50 | Tr: 3.6000e-03 | Val: 1.2412e+01 | T: 1.2s
Ep 36/50 | Tr: 1.6475e+00 | Val: 2.2938e-04 | T: 1.2s
Ep 37/50 | Tr: 1.2391e-04 | Val: 2.3808e-05 | T: 1.3s
Ep 38/50 | Tr: 5.1053e-05 | Val: 2.3037e-05 | T: 1.3s
Ep 39/50 | Tr: 4.9038e-05 | Val: 2.3045e-05 | T: 1.2s
Ep 40/50 | Tr: 4.8052e-05 | Val: 2.2998e-05 | T: 1.2s
Ep 41/50 | Tr: 4.6498e-05 | Val: 2.3017e-05 | T: 1.2s
Ep 42/50 | Tr: 4.6242e-05 | Val: 2.2799e-05 | T: 1.2s
Ep 43/50 | Tr: 4.6839e-05 | Val: 2.3201e-05 | T: 1.2s
Ep 44/50 | Tr: 4.5683e-05 | Val: 2.3078e-05 | T: 1.2s
Ep 45/50 | Tr: 4.4109e-05 | Val: 2.2680e-05 | T: 1.2s
Ep 46/50 | Tr: 4.4982e-05 | Val: 2.2899e-05 | T: 1.2s
Ep 47/50 | Tr: 4.3560e-05 | Val: 2.3019e-05 | T: 1.3s
Ep 48/50 | Tr: 4.4800e-05 | Val: 2.3105e-05 | T: 1.3s
Ep 49/50 | Tr: 4.3642e-05 | Val: 2.2881e-05 | T: 1.2s
Ep 50/50 | Tr: 4.3410e-05 | Val: 2.3026e-05 | T: 1.2s
--- [TRAIN] Terminé en 1.18 min ---
--- [TEST] FCTN (UNROLLING) | Metric: MSE | Samples: 100 ---
[INFO] Chargement des poids depuis : runs/fctn/unrolling/data_1/20260827-120230_full/checkpoints/best_model.pt
[RESULT] Mean MSE: 1.9310e-05 | Median: 1.9292e-05 | Std: 3.9633e-06 | Best: 1.0447e-05 | Worst: 2.8892e-05

=== Exécution Terminée ===
--- Tache 5 (fctn/unrolling/data_1) terminee ---
