no change     /scratch/mkalla/miniconda3/condabin/conda
no change     /scratch/mkalla/miniconda3/bin/conda
no change     /scratch/mkalla/miniconda3/bin/conda-env
no change     /scratch/mkalla/miniconda3/bin/activate
no change     /scratch/mkalla/miniconda3/bin/deactivate
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.sh
no change     /scratch/mkalla/miniconda3/etc/fish/conf.d/conda.fish
no change     /scratch/mkalla/miniconda3/shell/condabin/Conda.psm1
no change     /scratch/mkalla/miniconda3/shell/condabin/conda-hook.ps1
no change     /scratch/mkalla/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /scratch/mkalla/miniconda3/etc/profile.d/conda.csh
no change     /home/opis/mkalla/.bashrc
No action taken.
--- Nombre total de combinaisons definies : 12 ---
--- Job Slurm ID: 504177 | Tache: 11/12 ---
--- Modele: resu | Strategie: unrolling | Dataset: data_2 | Mode: full ---
--- Arguments specifiques : (aucun) ---
[INFO] Exécution verrouillée sur le GPU : 0
[AVERTISSEMENT] Paramètre 'train' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'save_dir' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'train_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'val_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'test_batch_size' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'Loss' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'number_pd_layers' du YAML non reconnu par argparse.
[AVERTISSEMENT] Paramètre 'resume' du YAML non reconnu par argparse.
=== Lancement : RESU | Stratégie : UNROLLING | Mode : FULL ===
--- Préparation des DataLoaders ---
[INFO] Chargement des données depuis : ./Dataset/data_2
[INFO] Instanciation des MyDataset...
[INFO] Train: 800 | Val: 100 | Test: 100
[INFO] Résultats sauvegardés dans : runs/resu/unrolling/data_2/20260827-120348_full
[INFO] Modèle RESU instancié.
--- [TRAIN] RESU (UNROLLING) | Epochs: 50 | Loss: MSE ---
Ep 27/50 | Tr: 1.1540e-05 | Val: 1.1482e-05 | T: 1.8s
Ep 28/50 | Tr: 1.1540e-05 | Val: 1.1483e-05 | T: 1.8s
Ep 29/50 | Tr: 1.1539e-05 | Val: 1.1483e-05 | T: 1.6s
Ep 30/50 | Tr: 1.1540e-05 | Val: 1.1482e-05 | T: 1.6s
Ep 31/50 | Tr: 1.1539e-05 | Val: 1.1483e-05 | T: 1.6s
Ep 32/50 | Tr: 1.1540e-05 | Val: 1.1483e-05 | T: 1.6s
Ep 33/50 | Tr: 1.1540e-05 | Val: 1.1482e-05 | T: 1.6s
Ep 34/50 | Tr: 1.1540e-05 | Val: 1.1483e-05 | T: 1.6s
Ep 35/50 | Tr: 1.1537e-05 | Val: 1.1482e-05 | T: 1.6s
Ep 36/50 | Tr: 1.1540e-05 | Val: 1.1482e-05 | T: 1.5s
Ep 37/50 | Tr: 1.1539e-05 | Val: 1.1482e-05 | T: 1.5s
Ep 38/50 | Tr: 1.1540e-05 | Val: 1.1482e-05 | T: 1.5s
Ep 39/50 | Tr: 1.1539e-05 | Val: 1.1483e-05 | T: 1.6s
Ep 40/50 | Tr: 1.1538e-05 | Val: 1.1481e-05 | T: 1.6s
Ep 41/50 | Tr: 1.1539e-05 | Val: 1.1482e-05 | T: 1.6s
Ep 42/50 | Tr: 1.1540e-05 | Val: 1.1482e-05 | T: 1.5s
Ep 43/50 | Tr: 1.1539e-05 | Val: 1.1482e-05 | T: 1.5s
Ep 44/50 | Tr: 1.1539e-05 | Val: 1.1480e-05 | T: 1.7s
Ep 45/50 | Tr: 1.1538e-05 | Val: 1.1481e-05 | T: 1.6s
Ep 46/50 | Tr: 1.1538e-05 | Val: 1.1480e-05 | T: 1.6s
Ep 47/50 | Tr: 1.1537e-05 | Val: 1.1479e-05 | T: 1.6s
Ep 48/50 | Tr: 1.1538e-05 | Val: 1.1475e-05 | T: 1.6s
Ep 49/50 | Tr: 1.1538e-05 | Val: 1.1474e-05 | T: 1.6s
Ep 50/50 | Tr: 1.1540e-05 | Val: 1.1473e-05 | T: 1.6s
--- [TRAIN] Terminé en 1.53 min ---
--- [TEST] RESU (UNROLLING) | Metric: MSE | Samples: 100 ---
[INFO] Chargement des poids depuis : runs/resu/unrolling/data_2/20260827-120348_full/checkpoints/best_model.pt
[RESULT] Mean MSE: 1.1574e-05 | Median: 1.1579e-05 | Std: 1.2891e-06 | Best: 8.4361e-06 | Worst: 1.5248e-05

=== Exécution Terminée ===
--- Tache 11 (resu/unrolling/data_2) terminee ---
